	Date	Workout Name	Exercise Name	Set Order	Weight	Weight Unit	Reps	RPE	Distance	Distance Unit	Seconds	Notes	Workout Notes	Workout Duration
54	2021-10-16 15:40:40	Afternoon Workout	Lat Pulldown (Cable)	3	150	lbs	12				0			1h 11m
55	2021-10-16 15:40:40	Afternoon Workout	Lat Pulldown (Cable)	4	150	lbs	12				0			1h 11m
56	2021-10-16 15:40:40	Afternoon Workout	Lateral Raise (Dumbbell)	1	15	lbs	20				0			1h 11m
57	2021-10-16 15:40:40	Afternoon Workout	Lateral Raise (Dumbbell)	2	20	lbs	13				0			1h 11m
58	2021-10-16 15:40:40	Afternoon Workout	Lateral Raise (Dumbbell)	3	20	lbs	13				0			1h 11m
59	2021-10-16 15:40:40	Afternoon Workout	Lateral Raise (Dumbbell)	4	20	lbs	13				0			1h 11m
60	2021-10-16 15:40:40	Afternoon Workout	Reverse Fly (Machine)	1	100	lbs	25				0			1h 11m
61	2021-10-16 15:40:40	Afternoon Workout	Reverse Fly (Machine)	2	110	lbs	13				0			1h 11m
62	2021-10-16 15:40:40	Afternoon Workout	Reverse Fly (Machine)	3	120	lbs	10				0			1h 11m
63	2021-10-16 15:40:40	Afternoon Workout	Reverse Fly (Machine)	4	120	lbs	12				0			1h 11m
64	2021-10-16 15:40:40	Afternoon Workout	Overhead Press (Barbell)	1	95	lbs	10				0			1h 11m
65	2021-10-16 15:40:40	Afternoon Workout	Overhead Press (Barbell)	2	95	lbs	10				0			1h 11m
66	2021-10-16 15:40:40	Afternoon Workout	Overhead Press (Barbell)	3	95	lbs	8				0			1h 11m
67	2021-10-16 15:40:40	Afternoon Workout	Overhead Press (Barbell)	4	95	lbs	9				0			1h 11m
68	2021-10-16 15:40:40	Afternoon Workout	Bent Over One Arm Row (Dumbbell)	1	80	lbs	12				0			1h 11m
69	2021-10-16 15:40:40	Afternoon Workout	Bent Over One Arm Row (Dumbbell)	2	80	lbs	12				0			1h 11m
70	2021-10-16 15:40:40	Afternoon Workout	Bent Over One Arm Row (Dumbbell)	3	90	lbs	9				0			1h 11m
71	2021-10-16 15:40:40	Afternoon Workout	Bent Over One Arm Row (Dumbbell)	4	90	lbs	9				0			1h 11m
